year,gender,race,age_group,death_cause,population,deaths,capita
2005,Male,A,65-74,G,8683128,186,2.142085202
2005,Male,A,75-84,G,5320967,126,2.36799063
2005,Male,A,85+,G,1443844,76,5.263726552
2005,Male,A,10-14,D,10864197,0,0
2005,Male,A,15-19,D,11051425,7,0.063340248
2005,Male,A,20-24,D,10737149,26,0.242149941
2005,Male,A,25-34,D,19710949,35,0.177566286
2005,Male,A,35-44,D,21640195,55,0.254156675
2005,Male,A,45-54,D,20881375,58,0.277759487
2005,Male,A,55-64,D,14773087,32,0.21661011
2005,Male,A,05-09,D,9915167,0,0
2005,Male,A,65-74,D,8683128,16,0.184265394
2005,Male,A,75-84,D,5320967,19,0.357077952
2005,Male,A,85+,D,1443844,10,0.692595599
2005,Male,A,10-14,F,10864197,72,0.662727305
2005,Male,A,15-19,F,11051425,658,5.95398331
2005,Male,A,20-24,F,10737149,1113,10.36588018
2005,Male,A,25-34,F,19710949,1981,10.05025177
2005,Male,A,35-44,F,21640195,2416,11.16440956
2005,Male,A,45-54,F,20881375,2945,14.10347738
2005,Male,A,55-64,F,14773087,2140,14.48580111
2005,Male,A,05-09,F,9915167,0,0
2005,Male,A,65-74,F,8683128,1501,17.28639725
2005,Male,A,75-84,F,5320967,1548,29.09245632
2005,Male,A,85+,F,1443844,542,37.53868146
2005,Male,A,10-14,E,10864197,0,0
2005,Male,A,15-19,E,11051425,0,0
2005,Male,A,20-24,E,10737149,0,0
2005,Male,A,25-34,E,19710949,0,0
2005,Male,A,35-44,E,21640195,1,0.00462103
2005,Male,A,45-54,E,20881375,3,0.01436687
2005,Male,A,55-64,E,14773087,0,0
2005,Male,A,05-09,E,9915167,0,0
2005,Male,A,65-74,E,8683128,0,0
2005,Male,A,75-84,E,5320967,0,0
2005,Male,A,85+,E,1443844,0,0
2005,Male,A,10-14,N,10864197,0,0
2005,Male,A,15-19,N,11051425,6,0.054291641
2005,Male,A,20-24,N,10737149,7,0.065194215
2005,Male,A,25-34,N,19710949,19,0.096393126
2005,Male,A,35-44,N,21640195,28,0.129388853
2005,Male,A,45-54,N,20881375,29,0.138879743
2005,Male,A,55-64,N,14773087,9,0.060921593
2005,Male,A,05-09,N,9915167,0,0
2005,Male,A,65-74,N,8683128,6,0.069099523
2005,Male,A,75-84,N,5320967,4,0.075174306
2005,Male,A,85+,N,1443844,0,0
2005,Male,A,10-14,O,10864197,0,0
2005,Male,A,15-19,O,11051425,0,0
2005,Male,A,20-24,O,10737149,0,0
2005,Male,A,25-34,O,19710949,0,0
2005,Male,A,35-44,O,21640195,0,0
2005,Male,A,45-54,O,20881375,0,0
2005,Male,A,55-64,O,14773087,0,0
2005,Male,A,05-09,O,9915167,0,0
2005,Male,A,65-74,O,8683128,0,0
2005,Male,A,75-84,O,5320967,0,0
2005,Male,A,85+,O,1443844,0,0
2005,Male,A,10-14,M,10864197,0,0
2005,Male,A,15-19,M,11051425,6,0.054291641
2005,Male,A,20-24,M,10737149,17,0.158328808
2005,Male,A,25-34,M,19710949,51,0.258739445
2005,Male,A,35-44,M,21640195,112,0.51755541
2005,Male,A,45-54,M,20881375,145,0.694398717
2005,Male,A,55-64,M,14773087,74,0.500910879
2005,Male,A,05-09,M,9915167,0,0
2005,Male,A,65-74,M,8683128,35,0.403080549
2005,Male,A,75-84,M,5320967,33,0.620188022
2005,Male,A,85+,M,1443844,13,0.900374279
2005,Male,A,10-14,B,10864197,0,0
2005,Male,A,15-19,B,11051425,0,0
2005,Male,A,20-24,B,10737149,0,0
2005,Male,A,25-34,B,19710949,0,0
2005,Male,A,35-44,B,21640195,0,0
2005,Male,A,45-54,B,20881375,0,0
2005,Male,A,55-64,B,14773087,0,0
2005,Male,A,05-09,B,9915167,0,0
2005,Male,A,65-74,B,8683128,0,0
2005,Male,A,75-84,B,5320967,0,0
2005,Male,A,85+,B,1443844,0,0
2005,Male,A,10-14,I,10864197,1,0.009204546
2005,Male,A,15-19,I,11051425,36,0.325749847
2005,Male,A,20-24,I,10737149,53,0.493613342
2005,Male,A,25-34,I,19710949,106,0.537772179
2005,Male,A,35-44,I,21640195,105,0.485208197
2005,Male,A,45-54,I,20881375,92,0.440584013
2005,Male,A,55-64,I,14773087,40,0.270762637
2005,Male,A,05-09,I,9915167,0,0
2005,Male,A,65-74,I,8683128,23,0.264881504
2005,Male,A,75-84,I,5320967,20,0.375871529
2005,Male,A,85+,I,1443844,22,1.523710318
2005,Male,A,10-14,J,10864197,3,0.027613638
2005,Male,A,15-19,J,11051425,15,0.135729103
2005,Male,A,20-24,J,10737149,30,0.279403778
2005,Male,A,25-34,J,19710949,64,0.324692637
2005,Male,A,35-44,J,21640195,60,0.277261827
2005,Male,A,45-54,J,20881375,49,0.234658877
2005,Male,A,55-64,J,14773087,26,0.175995714
2005,Male,A,05-09,J,9915167,0,0
2005,Male,A,65-74,J,8683128,6,0.069099523
2005,Male,A,75-84,J,5320967,8,0.150348611
2005,Male,A,85+,J,1443844,2,0.13851912
2005,Male,A,10-14,C,10864197,0,0
2005,Male,A,15-19,C,11051425,13,0.117631889
2005,Male,A,20-24,C,10737149,7,0.065194215
2005,Male,A,25-34,C,19710949,19,0.096393126
2005,Male,A,35-44,C,21640195,11,0.050831335
2005,Male,A,45-54,C,20881375,22,0.105357047
2005,Male,A,55-64,C,14773087,7,0.047383462
2005,Male,A,05-09,C,9915167,0,0
2005,Male,A,65-74,C,8683128,1,0.011516587
2005,Male,A,75-84,C,5320967,2,0.037587153
2005,Male,A,85+,C,1443844,0,0
2005,Male,A,10-14,K,10864197,0,0
2005,Male,A,15-19,K,11051425,11,0.099534675
2005,Male,A,20-24,K,10737149,19,0.176955726
2005,Male,A,25-34,K,19710949,41,0.20800622
2005,Male,A,35-44,K,21640195,50,0.231051522
2005,Male,A,45-54,K,20881375,52,0.249025747
2005,Male,A,55-64,K,14773087,29,0.196302912
2005,Male,A,05-09,K,9915167,0,0
2005,Male,A,65-74,K,8683128,14,0.16123222
2005,Male,A,75-84,K,5320967,8,0.150348611
2005,Male,A,85+,K,1443844,8,0.554076479
2005,Male,A,10-14,L,10864197,0,0
2005,Male,A,15-19,L,11051425,2,0.018097214
2005,Male,A,20-24,L,10737149,7,0.065194215
2005,Male,A,25-34,L,19710949,7,0.035513257
2005,Male,A,35-44,L,21640195,10,0.046210304
2005,Male,A,45-54,L,20881375,12,0.05746748
2005,Male,A,55-64,L,14773087,9,0.060921593
2005,Male,A,05-09,L,9915167,0,0
2005,Male,A,65-74,L,8683128,5,0.057582936
2005,Male,A,75-84,L,5320967,5,0.093967882
2005,Male,A,85+,L,1443844,2,0.13851912
2006,Female,A,10-14,P,10261944,0,0
2006,Female,A,15-19,P,10597293,0,0
2006,Female,A,20-24,P,10238784,0,0
2006,Female,A,25-34,P,19626340,0,0
2006,Female,A,35-44,P,21727611,0,0
2006,Female,A,45-54,P,22011575,0,0
2006,Female,A,55-64,P,16532054,0,0
2006,Female,A,05-09,P,9555173,0,0
2006,Female,A,65-74,P,10350638,0,0
2006,Female,A,75-84,P,7732685,0,0
2006,Female,A,85+,P,3347539,0,0
2006,Female,A,10-14,H,10261944,5,0.048723712
2006,Female,A,15-19,H,10597293,38,0.35858214
2006,Female,A,20-24,H,10238784,96,0.937611341
2006,Female,A,25-34,H,19626340,347,1.768032145
2006,Female,A,35-44,H,21727611,671,3.088236438
2006,Female,A,45-54,H,22011575,873,3.966095111
2006,Female,A,55-64,H,16532054,499,3.018378721
2006,Female,A,05-09,H,9555173,0,0
2006,Female,A,65-74,H,10350638,143,1.381557349
2006,Female,A,75-84,H,7732685,104,1.344940341
2006,Female,A,85+,H,3347539,39,1.16503497
2006,Female,A,10-14,G,10261944,46,0.448258147
2006,Female,A,15-19,G,10597293,165,1.557001396
2006,Female,A,20-24,G,10238784,122,1.191547746
2006,Female,A,25-34,G,19626340,239,1.217751247
2006,Female,A,35-44,G,21727611,247,1.136802385
2006,Female,A,45-54,G,22011575,213,0.96767269
2006,Female,A,55-64,G,16532054,127,0.768204604
2006,Female,A,05-09,G,9555173,1,0.010465535
2006,Female,A,65-74,G,10350638,61,0.589335653
2006,Female,A,75-84,G,7732685,64,0.827655594
2006,Female,A,85+,G,3347539,33,0.985798821
2006,Female,A,10-14,D,10261944,0,0
2006,Female,A,15-19,D,10597293,3,0.028309116
2006,Female,A,20-24,D,10238784,4,0.039067139
2006,Female,A,25-34,D,19626340,11,0.056047129
2006,Female,A,35-44,D,21727611,23,0.105856093
2006,Female,A,45-54,D,22011575,46,0.208980957
2006,Female,A,55-64,D,16532054,31,0.18751451
2006,Female,A,05-09,D,9555173,0,0
2006,Female,A,65-74,D,10350638,11,0.106273642
2006,Female,A,75-84,D,7732685,15,0.19398178
2006,Female,A,85+,D,3347539,4,0.119490766
2006,Female,A,10-14,F,10261944,10,0.097447423
2006,Female,A,15-19,F,10597293,62,0.58505507
2006,Female,A,20-24,F,10238784,120,1.172014177
2006,Female,A,25-34,F,19626340,258,1.314559923
2006,Female,A,35-44,F,21727611,463,2.130929167
2006,Female,A,45-54,F,22011575,574,2.607718893
2006,Female,A,55-64,F,16532054,378,2.286467247
2006,Female,A,05-09,F,9555173,0,0
2006,Female,A,65-74,F,10350638,167,1.613427114
2006,Female,A,75-84,F,7732685,92,1.189754917
2006,Female,A,85+,F,3347539,25,0.746817289
2006,Female,A,10-14,E,10261944,0,0
2006,Female,A,15-19,E,10597293,0,0
2006,Female,A,20-24,E,10238784,0,0
2006,Female,A,25-34,E,19626340,0,0
2006,Female,A,35-44,E,21727611,0,0
2006,Female,A,45-54,E,22011575,0,0
2006,Female,A,55-64,E,16532054,0,0
2006,Female,A,05-09,E,9555173,0,0
2006,Female,A,65-74,E,10350638,0,0
2006,Female,A,75-84,E,7732685,0,0
2006,Female,A,85+,E,3347539,0,0
2006,Female,A,10-14,N,10261944,0,0
2006,Female,A,15-19,N,10597293,1,0.009436372
2006,Female,A,20-24,N,10238784,2,0.01953357
2006,Female,A,25-34,N,19626340,3,0.015285581
2006,Female,A,35-44,N,21727611,7,0.032217072
2006,Female,A,45-54,N,22011575,21,0.09540435
2006,Female,A,55-64,N,16532054,12,0.072586262
2006,Female,A,05-09,N,9555173,0,0
2006,Female,A,65-74,N,10350638,3,0.028983721
2006,Female,A,75-84,N,7732685,3,0.038796356
2006,Female,A,85+,N,3347539,0,0
2006,Female,A,10-14,O,10261944,0,0
2006,Female,A,15-19,O,10597293,0,0
2006,Female,A,20-24,O,10238784,0,0
2006,Female,A,25-34,O,19626340,0,0
2006,Female,A,35-44,O,21727611,0,0
2006,Female,A,45-54,O,22011575,1,0.004543064
2006,Female,A,55-64,O,16532054,0,0
2006,Female,A,05-09,O,9555173,0,0
2006,Female,A,65-74,O,10350638,0,0
2006,Female,A,75-84,O,7732685,0,0
2006,Female,A,85+,O,3347539,0,0
2006,Female,A,10-14,M,10261944,1,0.009744742
2006,Female,A,15-19,M,10597293,2,0.018872744
2006,Female,A,20-24,M,10238784,1,0.009766785
2006,Female,A,25-34,M,19626340,10,0.050951935
2006,Female,A,35-44,M,21727611,19,0.087446337
2006,Female,A,45-54,M,22011575,24,0.109033543
2006,Female,A,55-64,M,16532054,15,0.090732827
2006,Female,A,05-09,M,9555173,0,0
2006,Female,A,65-74,M,10350638,11,0.106273642
2006,Female,A,75-84,M,7732685,7,0.090524831
2006,Female,A,85+,M,3347539,2,0.059745383
2006,Female,A,10-14,B,10261944,0,0
2006,Female,A,15-19,B,10597293,0,0
2006,Female,A,20-24,B,10238784,0,0
2006,Female,A,25-34,B,19626340,0,0
2006,Female,A,35-44,B,21727611,0,0
2006,Female,A,45-54,B,22011575,0,0
2006,Female,A,55-64,B,16532054,0,0
2006,Female,A,05-09,B,9555173,0,0
2006,Female,A,65-74,B,10350638,0,0
2006,Female,A,75-84,B,7732685,0,0
2006,Female,A,85+,B,3347539,0,0
2006,Female,A,10-14,I,10261944,2,0.019489485
2006,Female,A,15-19,I,10597293,6,0.056618233
2006,Female,A,20-24,I,10238784,12,0.117201418
2006,Female,A,25-34,I,19626340,23,0.117189451
2006,Female,A,35-44,I,21727611,45,0.207109746
2006,Female,A,45-54,I,22011575,47,0.213524021
2006,Female,A,55-64,I,16532054,23,0.139123668
2006,Female,A,05-09,I,9555173,0,0
2006,Female,A,65-74,I,10350638,13,0.125596123
2006,Female,A,75-84,I,7732685,15,0.19398178
2006,Female,A,85+,I,3347539,4,0.119490766
2006,Female,A,10-14,J,10261944,1,0.009744742
2006,Female,A,15-19,J,10597293,8,0.075490977
2006,Female,A,20-24,J,10238784,4,0.039067139
2006,Female,A,25-34,J,19626340,13,0.066237516
2006,Female,A,35-44,J,21727611,23,0.105856093
2006,Female,A,45-54,J,22011575,25,0.113576607
2006,Female,A,55-64,J,16532054,13,0.078635117
2006,Female,A,05-09,J,9555173,0,0
2006,Female,A,65-74,J,10350638,2,0.01932248
2006,Female,A,75-84,J,7732685,4,0.051728475
2006,Female,A,85+,J,3347539,0,0
2006,Female,A,10-14,C,10261944,0,0
2006,Female,A,15-19,C,10597293,6,0.056618233
2006,Female,A,20-24,C,10238784,3,0.029300354
2006,Female,A,25-34,C,19626340,7,0.035666355
2006,Female,A,35-44,C,21727611,7,0.032217072
2006,Female,A,45-54,C,22011575,6,0.027258386
2006,Female,A,55-64,C,16532054,6,0.036293131
2006,Female,A,05-09,C,9555173,0,0
2006,Female,A,65-74,C,10350638,0,0
2006,Female,A,75-84,C,7732685,0,0
2006,Female,A,85+,C,3347539,0,0
2006,Female,A,10-14,K,10261944,0,0
2006,Female,A,15-19,K,10597293,1,0.009436372
2006,Female,A,20-24,K,10238784,3,0.029300354
2006,Female,A,25-34,K,19626340,16,0.081523096
2006,Female,A,35-44,K,21727611,15,0.069036582
2006,Female,A,45-54,K,22011575,16,0.072689028
2006,Female,A,55-64,K,16532054,12,0.072586262
2006,Female,A,05-09,K,9555173,0,0
2006,Female,A,65-74,K,10350638,3,0.028983721
2006,Female,A,75-84,K,7732685,5,0.064660593
2006,Female,A,85+,K,3347539,3,0.089618075
2006,Female,A,10-14,L,10261944,0,0
2006,Female,A,15-19,L,10597293,1,0.009436372
2006,Female,A,20-24,L,10238784,1,0.009766785
2006,Female,A,25-34,L,19626340,5,0.025475968
2006,Female,A,35-44,L,21727611,6,0.027614633
2006,Female,A,45-54,L,22011575,4,0.018172257
2006,Female,A,55-64,L,16532054,4,0.024195421
2006,Female,A,05-09,L,9555173,0,0
2006,Female,A,65-74,L,10350638,2,0.01932248
2006,Female,A,75-84,L,7732685,1,0.012932119
2006,Female,A,85+,L,3347539,1,0.029872692
2006,Male,A,10-14,P,10771194,0,0
2006,Male,A,15-19,P,11210416,0,0
2006,Male,A,20-24,P,10797351,0,0
2006,Male,A,25-34,P,19768839,0,0
2006,Male,A,35-44,P,21516190,0,0
2006,Male,A,45-54,P,21274584,0,0
2006,Male,A,55-64,P,15398059,0,0
2006,Male,A,05-09,P,9989515,0,0
2006,Male,A,65-74,P,8852389,0,0
2006,Male,A,75-84,P,5362466,0,0
2006,Male,A,85+,P,1518390,0,0
2006,Male,A,10-14,H,10771194,4,0.037136087
2006,Male,A,15-19,H,11210416,43,0.38357185
2006,Male,A,20-24,H,10797351,165,1.5281526
2006,Male,A,25-34,H,19768839,453,2.291485099
2006,Male,A,35-44,H,21516190,846,3.931922892
2006,Male,A,45-54,H,21274584,968,4.550030214
2006,Male,A,55-64,H,15398059,529,3.435497942
2006,Male,A,05-09,H,9989515,0,0
2006,Male,A,65-74,H,8852389,137,1.547604833
2006,Male,A,75-84,H,5362466,98,1.827517415
2006,Male,A,85+,H,1518390,49,3.227102391
2006,Male,A,10-14,G,10771194,91,0.844845985
2006,Male,A,15-19,G,11210416,493,4.397695857
2006,Male,A,20-24,G,10797351,729,6.751656031
2006,Male,A,25-34,G,19768839,1358,6.869396832
2006,Male,A,35-44,G,21516190,1447,6.72516835
2006,Male,A,45-54,G,21274584,1186,5.574727102
2006,Male,A,55-64,G,15398059,471,3.05882709
2006,Male,A,05-09,G,9989515,2,0.020020992
2006,Male,A,65-74,G,8852389,180,2.033349416
2006,Male,A,75-84,G,5362466,134,2.498850342
2006,Male,A,85+,G,1518390,80,5.268738598
2006,Male,A,10-14,D,10771194,2,0.018568044
2006,Male,A,15-19,D,11210416,9,0.08028248
2006,Male,A,20-24,D,10797351,24,0.222276742
2006,Male,A,25-34,D,19768839,40,0.20233864
2006,Male,A,35-44,D,21516190,47,0.218440161
2006,Male,A,45-54,D,21274584,49,0.230321777
2006,Male,A,55-64,D,15398059,36,0.233795701
2006,Male,A,05-09,D,9989515,0,0
2006,Male,A,65-74,D,8852389,25,0.282409641
2006,Male,A,75-84,D,5362466,11,0.205129506
2006,Male,A,85+,D,1518390,10,0.658592325
2006,Male,A,10-14,F,10771194,52,0.482769134
2006,Male,A,15-19,F,11210416,639,5.700056091
2006,Male,A,20-24,F,10797351,1157,10.71559126
2006,Male,A,25-34,F,19768839,1892,9.570617678
2006,Male,A,35-44,F,21516190,2358,10.95918934
2006,Male,A,45-54,F,21274584,2907,13.66419198
2006,Male,A,55-64,F,15398059,2184,14.18360587
2006,Male,A,05-09,F,9989515,0,0
2006,Male,A,65-74,F,8852389,1522,17.19309895
2006,Male,A,75-84,F,5362466,1470,27.41276122
2006,Male,A,85+,F,1518390,552,36.35429633
2006,Male,A,10-14,E,10771194,0,0
2006,Male,A,15-19,E,11210416,0,0
2006,Male,A,20-24,E,10797351,1,0.009261531
2006,Male,A,25-34,E,19768839,0,0
2006,Male,A,35-44,E,21516190,0,0
2006,Male,A,45-54,E,21274584,1,0.004700444
2006,Male,A,55-64,E,15398059,1,0.006494325
2006,Male,A,05-09,E,9989515,0,0
2006,Male,A,65-74,E,8852389,1,0.011296386
2006,Male,A,75-84,E,5362466,0,0
2006,Male,A,85+,E,1518390,0,0
2006,Male,A,10-14,N,10771194,0,0
2006,Male,A,15-19,N,11210416,4,0.035681102
2006,Male,A,20-24,N,10797351,10,0.092615309
2006,Male,A,25-34,N,19768839,14,0.070818524
2006,Male,A,35-44,N,21516190,41,0.190554183
2006,Male,A,45-54,N,21274584,33,0.155114666
2006,Male,A,55-64,N,15398059,23,0.149369476
2006,Male,A,05-09,N,9989515,0,0
2006,Male,A,65-74,N,8852389,9,0.101667471
2006,Male,A,75-84,N,5362466,5,0.093240684
2006,Male,A,85+,N,1518390,0,0
2006,Male,A,10-14,O,10771194,0,0
2006,Male,A,15-19,O,11210416,0,0
2006,Male,A,20-24,O,10797351,0,0
2006,Male,A,25-34,O,19768839,0,0
2006,Male,A,35-44,O,21516190,0,0
2006,Male,A,45-54,O,21274584,0,0
2006,Male,A,55-64,O,15398059,0,0
2006,Male,A,05-09,O,9989515,0,0
2006,Male,A,65-74,O,8852389,0,0
2006,Male,A,75-84,O,5362466,0,0
2006,Male,A,85+,O,1518390,0,0
2006,Male,A,10-14,M,10771194,0,0
2006,Male,A,15-19,M,11210416,6,0.053521653
2006,Male,A,20-24,M,10797351,18,0.166707556
2006,Male,A,25-34,M,19768839,66,0.333858756
2006,Male,A,35-44,M,21516190,101,0.469413962
2006,Male,A,45-54,M,21274584,152,0.714467554
2006,Male,A,55-64,M,15398059,89,0.577994928
2006,Male,A,05-09,M,9989515,0,0
2006,Male,A,65-74,M,8852389,36,0.406669883
2006,Male,A,75-84,M,5362466,20,0.372962738
2006,Male,A,85+,M,1518390,18,1.185466185
2006,Male,A,10-14,B,10771194,0,0
2006,Male,A,15-19,B,11210416,0,0
2006,Male,A,20-24,B,10797351,0,0
2006,Male,A,25-34,B,19768839,0,0
2006,Male,A,35-44,B,21516190,0,0
2006,Male,A,45-54,B,21274584,0,0
2006,Male,A,55-64,B,15398059,0,0
2006,Male,A,05-09,B,9989515,0,0
2006,Male,A,65-74,B,8852389,1,0.011296386
2006,Male,A,75-84,B,5362466,0,0
2006,Male,A,85+,B,1518390,0,0
2006,Male,A,10-14,I,10771194,1,0.009284022
2006,Male,A,15-19,I,11210416,24,0.214086614
2006,Male,A,20-24,I,10797351,82,0.759445534
2006,Male,A,25-34,I,19768839,100,0.5058466
2006,Male,A,35-44,I,21516190,91,0.422937332
2006,Male,A,45-54,I,21274584,121,0.568753777
2006,Male,A,55-64,I,15398059,62,0.402648152
2006,Male,A,05-09,I,9989515,0,0
2006,Male,A,65-74,I,8852389,22,0.248520484
2006,Male,A,75-84,I,5362466,19,0.354314601
2006,Male,A,85+,I,1518390,13,0.856170022
2006,Male,A,10-14,J,10771194,0,0
2006,Male,A,15-19,J,11210416,19,0.169485236
2006,Male,A,20-24,J,10797351,32,0.296368989
2006,Male,A,25-34,J,19768839,56,0.283274096
2006,Male,A,35-44,J,21516190,65,0.302098095
2006,Male,A,45-54,J,21274584,55,0.258524444
2006,Male,A,55-64,J,15398059,20,0.129886501
2006,Male,A,05-09,J,9989515,0,0
2006,Male,A,65-74,J,8852389,11,0.124260242
2006,Male,A,75-84,J,5362466,1,0.018648137
2006,Male,A,85+,J,1518390,2,0.131718465
2006,Male,A,10-14,C,10771194,0,0
2006,Male,A,15-19,C,11210416,10,0.089202756
2006,Male,A,20-24,C,10797351,10,0.092615309
2006,Male,A,25-34,C,19768839,28,0.141637048
2006,Male,A,35-44,C,21516190,13,0.060419619
2006,Male,A,45-54,C,21274584,26,0.122211555
2006,Male,A,55-64,C,15398059,5,0.032471625
2006,Male,A,05-09,C,9989515,0,0
2006,Male,A,65-74,C,8852389,6,0.067778314
2006,Male,A,75-84,C,5362466,3,0.055944411
2006,Male,A,85+,C,1518390,1,0.065859232
2006,Male,A,10-14,K,10771194,1,0.009284022
2006,Male,A,15-19,K,11210416,11,0.098123031
2006,Male,A,20-24,K,10797351,27,0.250061334
2006,Male,A,25-34,K,19768839,32,0.161870912
2006,Male,A,35-44,K,21516190,46,0.213792498
2006,Male,A,45-54,K,21274584,60,0.282026666
2006,Male,A,55-64,K,15398059,33,0.214312726
2006,Male,A,05-09,K,9989515,0,0
2006,Male,A,65-74,K,8852389,11,0.124260242
2006,Male,A,75-84,K,5362466,4,0.074592548
2006,Male,A,85+,K,1518390,3,0.197577697
2006,Male,A,10-14,L,10771194,0,0
2006,Male,A,15-19,L,11210416,4,0.035681102
2006,Male,A,20-24,L,10797351,11,0.10187684
2006,Male,A,25-34,L,19768839,14,0.070818524
2006,Male,A,35-44,L,21516190,10,0.04647663
2006,Male,A,45-54,L,21274584,18,0.084608
2006,Male,A,55-64,L,15398059,10,0.06494325
2006,Male,A,05-09,L,9989515,0,0
2006,Male,A,65-74,L,8852389,7,0.079074699
2006,Male,A,75-84,L,5362466,0,0
2006,Male,A,85+,L,1518390,1,0.065859232
2007,Female,A,10-14,P,10170082,0,0
2007,Female,A,15-19,P,10731326,0,0
2007,Female,A,20-24,P,10270163,0,0
2007,Female,A,25-34,P,19788593,0,0
2007,Female,A,35-44,P,21502002,0,0
2007,Female,A,45-54,P,22337962,0,0
2007,Female,A,55-64,P,17148671,0,0
2007,Female,A,05-09,P,9640683,0,0
2007,Female,A,65-74,P,10595802,0,0
2007,Female,A,75-84,P,7694491,0,0
2007,Female,A,85+,P,3446309,0,0
2007,Female,A,10-14,H,10170082,4,0.03933105
2007,Female,A,15-19,H,10731326,45,0.419333081
2007,Female,A,20-24,H,10270163,81,0.788692448
2007,Female,A,25-34,H,19788593,331,1.672680822
2007,Female,A,35-44,H,21502002,626,2.911356812
2007,Female,A,45-54,H,22337962,970,4.342383607
2007,Female,A,55-64,H,17148671,570,3.323872736
2007,Female,A,05-09,H,9640683,1,0.010372709
2007,Female,A,65-74,H,10595802,174,1.642159791
2007,Female,A,75-84,H,7694491,98,1.273638503
2007,Female,A,85+,H,3446309,44,1.276728233
2007,Female,A,10-14,G,10170082,40,0.393310496
2007,Female,A,15-19,G,10731326,134,1.248680732
2007,Female,A,20-24,G,10270163,157,1.528700177
2007,Female,A,25-34,G,19788593,314,1.586772743
2007,Female,A,35-44,G,21502002,305,1.418472568
2007,Female,A,45-54,G,22337962,269,1.204228031
2007,Female,A,55-64,G,17148671,145,0.845546573
2007,Female,A,05-09,G,9640683,0,0
2007,Female,A,65-74,G,10595802,59,0.556824297
2007,Female,A,75-84,G,7694491,56,0.72779343
2007,Female,A,85+,G,3446309,33,0.957546175
2007,Female,A,10-14,D,10170082,0,0
2007,Female,A,15-19,D,10731326,4,0.037274052
2007,Female,A,20-24,D,10270163,10,0.097369438
2007,Female,A,25-34,D,19788593,20,0.101068328
2007,Female,A,35-44,D,21502002,28,0.130220432
2007,Female,A,45-54,D,22337962,21,0.094010367
2007,Female,A,55-64,D,17148671,16,0.093301691
2007,Female,A,05-09,D,9640683,0,0
2007,Female,A,65-74,D,10595802,9,0.0849393
2007,Female,A,75-84,D,7694491,7,0.090974179
2007,Female,A,85+,D,3446309,5,0.145082754
2007,Female,A,10-14,F,10170082,8,0.078662099
2007,Female,A,15-19,F,10731326,58,0.540473749
2007,Female,A,20-24,F,10270163,115,1.119748538
2007,Female,A,25-34,F,19788593,273,1.379582672
2007,Female,A,35-44,F,21502002,486,2.26025465
2007,Female,A,45-54,F,22337962,554,2.480083008
2007,Female,A,55-64,F,17148671,389,2.268397359
2007,Female,A,05-09,F,9640683,0,0
2007,Female,A,65-74,F,10595802,161,1.519469692
2007,Female,A,75-84,F,7694491,106,1.377608993
2007,Female,A,85+,F,3446309,21,0.609347566
2007,Female,A,10-14,E,10170082,0,0
2007,Female,A,15-19,E,10731326,0,0
2007,Female,A,20-24,E,10270163,0,0
2007,Female,A,25-34,E,19788593,0,0
2007,Female,A,35-44,E,21502002,0,0
2007,Female,A,45-54,E,22337962,0,0
2007,Female,A,55-64,E,17148671,0,0
2007,Female,A,05-09,E,9640683,0,0
2007,Female,A,65-74,E,10595802,0,0
2007,Female,A,75-84,E,7694491,0,0
2007,Female,A,85+,E,3446309,0,0
2007,Female,A,10-14,N,10170082,0,0
2007,Female,A,15-19,N,10731326,0,0
2007,Female,A,20-24,N,10270163,0,0
2007,Female,A,25-34,N,19788593,6,0.030320498
2007,Female,A,35-44,N,21502002,14,0.065110216
2007,Female,A,45-54,N,22337962,16,0.071626946
2007,Female,A,55-64,N,17148671,10,0.058313557
2007,Female,A,05-09,N,9640683,0,0
2007,Female,A,65-74,N,10595802,4,0.0377508
2007,Female,A,75-84,N,7694491,4,0.051985245
2007,Female,A,85+,N,3446309,1,0.029016551
2007,Female,A,10-14,O,10170082,0,0
2007,Female,A,15-19,O,10731326,0,0
2007,Female,A,20-24,O,10270163,0,0
2007,Female,A,25-34,O,19788593,0,0
2007,Female,A,35-44,O,21502002,0,0
2007,Female,A,45-54,O,22337962,0,0
2007,Female,A,55-64,O,17148671,0,0
2007,Female,A,05-09,O,9640683,0,0
2007,Female,A,65-74,O,10595802,0,0
2007,Female,A,75-84,O,7694491,0,0
2007,Female,A,85+,O,3446309,0,0
2007,Female,A,10-14,M,10170082,0,0
2007,Female,A,15-19,M,10731326,2,0.018637026
2007,Female,A,20-24,M,10270163,4,0.038947775
2007,Female,A,25-34,M,19788593,8,0.040427331
2007,Female,A,35-44,M,21502002,19,0.088363865
2007,Female,A,45-54,M,22337962,33,0.147730576
2007,Female,A,55-64,M,17148671,36,0.209928804
2007,Female,A,05-09,M,9640683,0,0
2007,Female,A,65-74,M,10595802,12,0.113252399
2007,Female,A,75-84,M,7694491,8,0.10397049
2007,Female,A,85+,M,3446309,5,0.145082754
2007,Female,A,10-14,B,10170082,0,0
2007,Female,A,15-19,B,10731326,0,0
2007,Female,A,20-24,B,10270163,0,0
2007,Female,A,25-34,B,19788593,0,0
2007,Female,A,35-44,B,21502002,0,0
2007,Female,A,45-54,B,22337962,1,0.004476684
2007,Female,A,55-64,B,17148671,0,0
2007,Female,A,05-09,B,9640683,0,0
