year,gender,race,age_group,death_cause,population,deaths,capita
All,Both,A,25-34,B,604708107,4,0.000661476
All,Both,A,35-44,B,643765622,3,0.000466008
All,Both,A,45-54,B,632894843,4,0.000632017
All,Both,A,55-64,B,474885795,1,0.000210577
All,Both,A,05-09,B,300766269,0,0
All,Both,A,65-74,B,303670611,3,0.000987913
All,Both,A,75-84,B,194142691,1,0.000515085
All,Both,A,85+,B,74407605,2,0.002687897
All,Both,A,10-14,I,312964264,33,0.010544335
All,Both,A,15-19,I,319240345,542,0.16977804
All,Both,A,20-24,I,313751024,1144,0.364620324
All,Both,A,25-34,I,604708107,2041,0.337518214
All,Both,A,35-44,I,643765622,2186,0.339564575
All,Both,A,45-54,I,632894843,2256,0.356457321
All,Both,A,55-64,I,474885795,1344,0.283015414
All,Both,A,05-09,I,300766269,1,0.000332484
All,Both,A,65-74,I,303670611,697,0.22952501
All,Both,A,75-84,I,194142691,542,0.279176104
All,Both,A,85+,I,74407605,342,0.459630437
All,Both,A,10-14,J,312964264,31,0.009905284
All,Both,A,15-19,J,319240345,401,0.12561069
All,Both,A,20-24,J,313751024,644,0.205258294
All,Both,A,25-34,J,604708107,1053,0.174133601
All,Both,A,35-44,J,643765622,1132,0.175840393
All,Both,A,45-54,J,632894843,1090,0.172224503
All,Both,A,55-64,J,474885795,534,0.112448089
All,Both,A,05-09,J,300766269,0,0
All,Both,A,65-74,J,303670611,195,0.064214314
All,Both,A,75-84,J,194142691,81,0.04172189
All,Both,A,85+,J,74407605,15,0.02015923
All,Both,A,10-14,C,312964264,4,0.001278101
All,Both,A,15-19,C,319240345,186,0.058263313
All,Both,A,20-24,C,313751024,215,0.068525673
All,Both,A,25-34,C,604708107,361,0.059698224
All,Both,A,35-44,C,643765622,408,0.063377103
All,Both,A,45-54,C,632894843,352,0.055617454
All,Both,A,55-64,C,474885795,184,0.038746158
All,Both,A,05-09,C,300766269,0,0
All,Both,A,65-74,C,303670611,79,0.02601503
All,Both,A,75-84,C,194142691,39,0.020088317
All,Both,A,85+,C,74407605,12,0.016127384
All,Both,A,10-14,K,312964264,15,0.004792879
All,Both,A,15-19,K,319240345,184,0.057636825
All,Both,A,20-24,K,313751024,335,0.10677256
All,Both,A,25-34,K,604708107,650,0.107489877
All,Both,A,35-44,K,643765622,907,0.140889785
All,Both,A,45-54,K,632894843,982,0.155160057
All,Both,A,55-64,K,474885795,620,0.130557706
All,Both,A,05-09,K,300766269,1,0.000332484
All,Both,A,65-74,K,303670611,306,0.100767078
All,Both,A,75-84,K,194142691,236,0.121560075
All,Both,A,85+,K,74407605,117,0.157241992
All,Both,A,10-14,L,312964264,2,0.000639051
All,Both,A,15-19,L,319240345,42,0.013156232
All,Both,A,20-24,L,313751024,74,0.02358558
All,Both,A,25-34,L,604708107,158,0.026128309
All,Both,A,35-44,L,643765622,183,0.028426495
All,Both,A,45-54,L,632894843,237,0.037446979
All,Both,A,55-64,L,474885795,144,0.03032308
All,Both,A,05-09,L,300766269,0,0
All,Both,A,65-74,L,303670611,89,0.029308072
All,Both,A,75-84,L,194142691,46,0.023693913
All,Both,A,85+,L,74407605,22,0.02956687
All,Both,B,10-14,P,5150587,0,0
All,Both,B,15-19,P,5231008,0,0
All,Both,B,20-24,P,4785737,0,0
All,Both,B,25-34,P,8356215,0,0
All,Both,B,35-44,P,7887257,0,0
All,Both,B,45-54,P,6805546,0,0
All,Both,B,55-64,P,4192688,0,0
All,Both,B,05-09,P,4917122,0,0
All,Both,B,65-74,P,2065204,0,0
All,Both,B,75-84,P,910876,0,0
All,Both,B,85+,P,272812,0,0
All,Both,B,10-14,H,5150587,2,0.038830526
All,Both,B,15-19,H,5231008,39,0.745554203
All,Both,B,20-24,H,4785737,51,1.065666584
All,Both,B,25-34,H,8356215,168,2.010479625
All,Both,B,35-44,H,7887257,219,2.77663071
All,Both,B,45-54,H,6805546,178,2.615513876
All,Both,B,55-64,H,4192688,83,1.97963693
All,Both,B,05-09,H,4917122,0,0
All,Both,B,65-74,H,2065204,18,0.871584599
All,Both,B,75-84,H,910876,4,0.439137709
All,Both,B,85+,H,272812,2,0.733105582
All,Both,B,10-14,G,5150587,127,2.465738371
All,Both,B,15-19,G,5231008,473,9.042234307
All,Both,B,20-24,G,4785737,476,9.946221449
All,Both,B,25-34,G,8356215,646,7.730772844
All,Both,B,35-44,G,7887257,448,5.680048209
All,Both,B,45-54,G,6805546,200,2.938779636
All,Both,B,55-64,G,4192688,50,1.192552367
All,Both,B,05-09,G,4917122,1,0.0203371
All,Both,B,65-74,G,2065204,15,0.726320499
All,Both,B,75-84,G,910876,4,0.439137709
All,Both,B,85+,G,272812,2,0.733105582
All,Both,B,10-14,D,5150587,0,0
